"turn","weeks_per_turn","elapsed_weeks","currency","harvest_m3","delivery_m3","closing_cash","targets_evaluated","targets_achieved","service_pct","emissions_kg_CO2","emissions_per_delivered_m3","expired_stock_m3","crew_relocation_km","partner_savings","reciprocal_savings","region","scenario","seed"
"1","1","1","CAD","42.34763964615044","0","635428.1650287977","0","0","","211.7381982307522","","0","12.017166209814983","0","0","quebec-lac-saint-jean","normal","2026"
"2","1","2","CAD","84","0","619946.8607369039","0","0","","420","","0","0","0","0","quebec-lac-saint-jean","normal","2026"
