"tour","semaines_par_tour","semaines_ecoulees","devise","recolte_m3","livraison_m3","tresorerie_cloture","cibles_evaluees","cibles_atteintes","reussite_pct","emissions_kg_CO2","emissions_par_m3_livre","stock_expire_m3","relocalisation_equipes_km","economies_partenaire","economies_reciproques","region","scenario","graine"
"1","1","1","CAD","42.34763964615044","0","635428.1650287977","0","0","","211.7381982307522","","0","12.017166209814983","0","0","quebec-lac-saint-jean","normal","2026"
"2","1","2","CAD","84","0","619946.8607369039","0","0","","420","","0","0","0","0","quebec-lac-saint-jean","normal","2026"
